# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
7

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,IPKETGGBAT,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,72,33
# x,y,z,u,w
8.799999999999704326e-04, -5.511838028578973370e-02, 3.718807897944598762e-01, 4.000000000000000222e-01, 1.375000000000000000e+00
8.799999999999769378e-04, -6.938242096250721302e-02, 3.838175790374927510e-01, 4.000000000000000222e-01, 1.500000000000000000e+00
8.799999999999832262e-04, -8.131921020554010171e-02, 3.980816197142102442e-01, 4.000000000000000222e-01, 1.625000000000000000e+00
8.799999999999884304e-04, -9.048050894940543043e-02, 4.144833218780711315e-01, 4.000000000000000222e-01, 1.750000000000000000e+00
8.799999999999924419e-04, -9.635341584888482136e-02, 4.328977578622695832e-01, 4.000000000000000222e-01, 1.875000000000000000e+00
8.799999999999949356e-04, -9.842502955875977178e-02, 4.531999999999999917e-01, 4.000000000000000222e-01, 2.000000000000000000e+00
8.799999999999960198e-04, -9.635341584888477973e-02, 4.735022421377303448e-01, 4.000000000000000222e-01, 2.125000000000000000e+00
8.799999999999958029e-04, -9.048050894940540267e-02, 4.919166781219287965e-01, 4.000000000000000222e-01, 2.250000000000000000e+00
8.799999999999952608e-04, -8.131921020554003232e-02, 5.083183802857896838e-01, 4.000000000000000222e-01, 2.375000000000000000e+00
8.799999999999946103e-04, -6.938242096250712976e-02, 5.225824209625070660e-01, 4.000000000000000222e-01, 2.500000000000000000e+00
8.799999999999942851e-04, -5.511838028578966431e-02, 5.345192102055400518e-01, 4.000000000000000222e-01, 2.625000000000000000e+00
8.799999999999945019e-04, -3.871667812192880476e-02, 5.436805089494053389e-01, 4.000000000000000222e-01, 2.750000000000000000e+00
8.799999999999949356e-04, -2.030224213773033567e-02, 5.495534158488848409e-01, 4.000000000000000222e-01, 2.875000000000000000e+00
8.799999999999949356e-04, 3.704562573768446423e-17, 5.516250295587596941e-01, 4.000000000000000222e-01, 3.000000000000000000e+00
8.799999999999949356e-04, 2.030224213773041547e-02, 5.495534158488848409e-01, 4.000000000000000222e-01, 3.125000000000000000e+00
8.799999999999945019e-04, 3.871667812192891578e-02, 5.436805089494053389e-01, 4.000000000000000222e-01, 3.250000000000000000e+00
8.799999999999942851e-04, 5.511838028578976145e-02, 5.345192102055400518e-01, 4.000000000000000222e-01, 3.375000000000000000e+00
8.799999999999946103e-04, 6.938242096250724078e-02, 5.225824209625070660e-01, 4.000000000000000222e-01, 3.500000000000000000e+00
8.799999999999951524e-04, 8.131921020554014334e-02, 5.083183802857895728e-01, 4.000000000000000222e-01, 3.625000000000000000e+00
8.799999999999959114e-04, 9.048050894940548594e-02, 4.919166781219287965e-01, 4.000000000000000222e-01, 3.750000000000000000e+00
8.799999999999960198e-04, 9.635341584888484912e-02, 4.735022421377302893e-01, 4.000000000000000222e-01, 3.875000000000000000e+00
8.799999999999949356e-04, 9.842502955875984116e-02, 4.531999999999999917e-01, 4.000000000000000222e-01, 4.000000000000000000e+00
1.619999999999991889e-03, 2.013244057913565199e-01, 4.531999999999999362e-01, 5.999999999999999778e-01, 0.000000000000000000e+00
1.619999999999987769e-03, 1.971425926467486878e-01, 4.118125262274280329e-01, 5.999999999999999778e-01, 1.250000000000000000e-01
1.619999999999980830e-03, 1.852446461979088410e-01, 3.740596304470943378e-01, 5.999999999999999778e-01, 2.500000000000000000e-01
1.619999999999972590e-03, 1.666018059223119685e-01, 3.403305916188551494e-01, 5.999999999999999778e-01, 3.750000000000000000e-01
1.619999999999962616e-03, 1.421853112974332811e-01, 3.110146887025666551e-01, 5.999999999999999778e-01, 5.000000000000000000e-01
1.619999999999952207e-03, 1.128694083811447313e-01, 2.865981940776879400e-01, 5.999999999999999778e-01, 6.250000000000000000e-01
1.619999999999942666e-03, 7.914036955290557063e-02, 2.679553538020911230e-01, 5.999999999999999778e-01, 7.500000000000000000e-01
1.619999999999935944e-03, 4.138747377257195881e-02, 2.560574073532512207e-01, 5.999999999999999778e-01, 8.750000000000000000e-01
1.619999999999933125e-03, 6.994405055138486254e-18, 2.518755942086434718e-01, 5.999999999999999778e-01, 1.000000000000000000e+00
1.619999999999935944e-03, -4.138747377257195881e-02, 2.560574073532512762e-01, 5.999999999999999778e-01, 1.125000000000000000e+00
1.619999999999942666e-03, -7.914036955290557063e-02, 2.679553538020911230e-01, 5.999999999999999778e-01, 1.250000000000000000e+00
1.619999999999952207e-03, -1.128694083811447452e-01, 2.865981940776879400e-01, 5.999999999999999778e-01, 1.375000000000000000e+00
1.619999999999962616e-03, -1.421853112974333366e-01, 3.110146887025667106e-01, 5.999999999999999778e-01, 1.500000000000000000e+00
1.619999999999972590e-03, -1.666018059223119963e-01, 3.403305916188552604e-01, 5.999999999999999778e-01, 1.625000000000000000e+00
1.619999999999980830e-03, -1.852446461979088133e-01, 3.740596304470943934e-01, 5.999999999999999778e-01, 1.750000000000000000e+00
1.619999999999987769e-03, -1.971425926467486878e-01, 4.118125262274280329e-01, 5.999999999999999778e-01, 1.875000000000000000e+00
1.619999999999991889e-03, -2.013244057913564089e-01, 4.531999999999999362e-01, 5.999999999999999778e-01, 2.000000000000000000e+00
1.619999999999993624e-03, -1.971425926467486600e-01, 4.945874737725718950e-01, 5.999999999999999778e-01, 2.125000000000000000e+00
1.619999999999993624e-03, -1.852446461979087577e-01, 5.323403695529054236e-01, 5.999999999999999778e-01, 2.250000000000000000e+00
1.619999999999992540e-03, -1.666018059223118852e-01, 5.660694083811446120e-01, 5.999999999999999778e-01, 2.375000000000000000e+00
1.619999999999991456e-03, -1.421853112974331979e-01, 5.953853112974331063e-01, 5.999999999999999778e-01, 2.500000000000000000e+00
1.619999999999991022e-03, -1.128694083811446480e-01, 6.198018059223118215e-01, 5.999999999999999778e-01, 2.625000000000000000e+00
1.619999999999991456e-03, -7.914036955290547348e-02, 6.384446461979087495e-01, 5.999999999999999778e-01, 2.750000000000000000e+00
1.619999999999991672e-03, -4.138747377257188248e-02, 6.503425926467486518e-01, 5.999999999999999778e-01, 2.875000000000000000e+00
1.619999999999991889e-03, 5.801439870765399768e-17, 6.545244057913564006e-01, 5.999999999999999778e-01, 3.000000000000000000e+00
1.619999999999991672e-03, 4.138747377257201432e-02, 6.503425926467486518e-01, 5.999999999999999778e-01, 3.125000000000000000e+00
1.619999999999991456e-03, 7.914036955290564002e-02, 6.384446461979087495e-01, 5.999999999999999778e-01, 3.250000000000000000e+00
1.619999999999991022e-03, 1.128694083811447868e-01, 6.198018059223119325e-01, 5.999999999999999778e-01, 3.375000000000000000e+00
1.619999999999991456e-03, 1.421853112974333644e-01, 5.953853112974332173e-01, 5.999999999999999778e-01, 3.500000000000000000e+00
1.619999999999992540e-03, 1.666018059223120518e-01, 5.660694083811446120e-01, 5.999999999999999778e-01, 3.625000000000000000e+00
1.619999999999993407e-03, 1.852446461979088965e-01, 5.323403695529056456e-01, 5.999999999999999778e-01, 3.750000000000000000e+00
